UE,BS,RSRP
1,5,-99.77
1,5,-103.93
1,5,-98.94
1,5,-98.03
1,5,-99.89
1,5,-103.21
1,5,-100.09
1,5,-99.34
1,5,-99.69
1,5,-102.6
2,5,-79.51
2,5,-77.55
2,5,-75.25
2,5,-76.42
2,5,-76.17
2,5,-77.1
2,5,-76.85
2,5,-79.53
2,5,-79.04
2,5,-75.35
3,5,-77.79
3,5,-81.33
3,5,-80.81
3,5,-80.85
3,5,-80.22
3,5,-77.77
3,5,-79.19
3,5,-80.37
3,5,-80.37
3,5,-80.93
4,5,-82.88
4,5,-81.81
4,5,-83
4,5,-78.79
4,5,-80.6
4,5,-78.06
4,5,-82.98
4,5,-80.03
4,5,-77.25
4,5,-79.43
5,5,-95.89
5,5,-93.6
5,5,-94.06
5,5,-96.11
5,5,-94.32
5,5,-98.98
5,5,-96.41
5,5,-95.47
5,5,-96.48
5,5,-95.19
6,5,-92.13
6,5,-91.79
6,5,-93.55
6,5,-92.62
6,5,-91.85
6,5,-92.4
6,5,-90.11
6,5,-92.56
6,5,-90.2
6,5,-90.05
7,4,-107.92
7,4,-109.83
7,4,-105.34
7,4,-105.93
7,4,-105.21
7,4,-109.17
7,4,-104.59
7,4,-106.72
7,4,-107.25
7,4,-108.47
8,4,-98.71
8,4,-97.16
8,4,-97.38
8,4,-99.47
8,4,-98.21
8,4,-98.11
8,4,-100.95
8,4,-98.09
8,4,-95.14
8,4,-96.76
9,4,-84.01
9,4,-87.94
9,4,-83.62
9,4,-88.77
9,4,-88.75
9,4,-84.2
9,4,-88.71
9,4,-83.65
9,4,-83.42
9,4,-83.1
10,4,-83.06
10,4,-83.75
10,4,-82.83
10,4,-83.59
10,4,-82.39
10,4,-84.78
10,4,-83.56
10,4,-86.99
10,4,-84.67
10,4,-82.14
11,3,-89.35
11,3,-89.41
11,3,-87.92
11,3,-87.44
11,3,-88.21
11,3,-89.09
11,3,-89.06
11,3,-90.52
11,3,-87.52
11,3,-91.82
12,3,-95.96
12,3,-90.01
12,3,-94.22
12,3,-94.18
12,3,-95.75
12,3,-92.84
12,3,-92.79
12,3,-90.92
12,3,-91.34
12,3,-93.26
13,3,-98.99
13,3,-98.43
13,3,-103.3
13,3,-99.54
13,3,-103.89
13,3,-103.19
13,3,-103.89
13,3,-98.89
13,3,-102.33
13,3,-100.85
14,2,-88.47
14,2,-91.74
14,2,-91.72
14,2,-90.5
14,2,-90.18
14,2,-90.53
14,2,-88.43
14,2,-89.09
14,2,-87.54
14,2,-87.99
15,2,-67.59
15,2,-68.96
15,2,-68.94
15,2,-69.67
15,2,-68.6
15,2,-70.06
15,2,-68.83
15,2,-69.97
15,2,-70.14
15,2,-71.52
16,2,-89.75
16,2,-89.56
16,2,-87.6
16,2,-92.17
16,2,-87.71
16,2,-90.19
16,2,-89.35
16,2,-91.41
16,2,-90.26
16,2,-91
17,2,-75.09
17,2,-73.87
17,2,-70.14
17,2,-70.93
17,2,-73.54
17,2,-73.45
17,2,-71.35
17,2,-74.44
17,2,-72.37
17,2,-70.3
18,1,-92.13
18,1,-90.84
18,1,-87.35
18,1,-92
18,1,-90.97
18,1,-88.58
18,1,-91.27
18,1,-92.84
18,1,-88.71
18,1,-91.4
19,1,-69.7
19,1,-70.42
19,1,-69.23
19,1,-66.14
19,1,-67.93
19,1,-68.59
19,1,-67.91
19,1,-68.65
19,1,-66.96
19,1,-69.47
20,1,-87.8
20,1,-90.89
20,1,-88.2
20,1,-89.64
20,1,-90.94
20,1,-90.86
20,1,-91.49
20,1,-89.73
20,1,-91.04
20,1,-90.44
